Lbc_km,Y0,ed,N,mu,nu,omega,p_mu,p_nu,p_omega,key_rate
20,1.1056894909557377e-07,0.00514946361969449,78939441853705,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014805862446489225
20,2.86431051432204e-06,0.006057764172172811,37474890056375,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014564465958611366
20,4.206628114026948e-08,0.008071861974040249,4954919260331,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014053216787675035
20,6.528100090150293e-06,0.0068478218184385604,10684107989,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014360227567486299
20,1.2805320168617536e-07,0.0053697502165423365,2626594014903,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014746622277335992
20,3.780304870777242e-06,0.007804875536342867,28155558292,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014119247892428691
20,1.0798136721259868e-07,0.019387572809109705,33161241216,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011554794569720184
20,7.935198248630519e-06,0.010433598049172738,782495071846,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013486445671745666
20,7.549113550579989e-08,0.019056902663232046,68012944920677,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.0116214965802352
20,8.086249169108871e-07,0.007760683252627333,93714578120783,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01413031135371623
20,2.0311468267077554e-08,0.013712740723911206,42229140317,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012745279690558093
20,4.932032644240927e-06,0.019185175872434228,16502935109454,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01159533788778433
20,8.864908472571889e-08,0.008642580349369778,10457639170119,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013913381576373543
20,7.467557192055561e-08,0.011296780667811129,15311675185,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013286929596393385
20,2.4928803327459597e-08,0.00530824430962665,20496725285,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014763116668428533
20,1.6581867789015647e-08,0.011303475532612203,1596278670191,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01328539589892461
20,1.6696923586163205e-06,0.007134252107636241,488376754762,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014287513432873874
20,8.14513172538607e-07,0.006268335422283988,601512449812,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014509601630486155
20,1.2816460923280676e-07,0.019233978934124926,17038386108,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011585738366770675
20,1.6822040086338294e-07,0.011258382196943076,8179410758544,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013295738145926814
20,9.162479345091888e-08,0.008059854139193509,149020707402,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014056179537734227
20,2.5862030964276246e-07,0.019254024943574317,15348576072672,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011581689322695482
20,6.775022429624735e-08,0.013372723825895695,5659801687037,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012820072849021235
20,2.4376506605473693e-06,0.011692465759247712,393647611375,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013196436978032612
